"","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6"
"TRINITY_DN61491_c3_g1_i7",87,166,102,74,137,142,258,94,175,140,157
"TRINITY_DN63895_c0_g2_i3",54,12,57,53,60,98,61,38,12,38,57
"TRINITY_DN47880_c0_g1_i1",87,0,0,0,7,43,118,26,0,15,39
"TRINITY_DN62892_c4_g1_i5",55,37,8,118,66,0,0,0,11,77,0
"TRINITY_DN62886_c0_g2_i7",39,0,33,31,22,28,47,0,0,42,44
"TRINITY_DN55738_c0_g1_i1",218,17058,331,19,51,656,1639,7,11115,6129,1821
"TRINITY_DN59124_c0_g1_i4",0,0,0,0,33,47,46,68,0,17,13
"TRINITY_DN66022_c1_g2_i11",21,0,36,19,19,32,41,0,0,7,39
"TRINITY_DN16721_c0_g1_i1",46,0,3,14,5,13,59,48,0,16,27
"TRINITY_DN61313_c0_g2_i9",60,25,44,46,75,13,96,3,38,37,27
"TRINITY_DN52751_c1_g1_i4",73,0,67,81,41,33,40,59,0,56,54
"TRINITY_DN62892_c4_g1_i14",66,0,27,87,54,19,14,25,0,77,0
"TRINITY_DN59059_c1_g3_i8",0,7,0,0,17,9,11,21,15,22,18
"TRINITY_DN64114_c0_g1_i15",0,57,0,0,43,0,123,154,162,0,157
"TRINITY_DN57385_c0_g1_i2",33,17,22,0,11,0,22,0,11,8,0
"TRINITY_DN66628_c1_g1_i2",20,31,23,17,30,71,50,50,38,41,70
"TRINITY_DN66141_c0_g1_i4",111,0,89,58,0,2,153,57,0,0,118
"TRINITY_DN60460_c4_g2_i5",48,0,67,30,32,30,21,18,0,0,20
"TRINITY_DN62556_c1_g1_i12",42,0,30,15,33,22,53,33,9,31,36
"TRINITY_DN65776_c3_g1_i14",296,7,90,145,333,148,667,1002,0,47,558
"TRINITY_DN60415_c0_g1_i15",63,3,24,57,20,70,47,22,8,9,43
"TRINITY_DN65614_c0_g1_i1",0,24,0,0,70,28,0,36,37,19,39
"TRINITY_DN58874_c0_g1_i7",28,2,37,24,9,41,83,45,1,7,32
"TRINITY_DN60726_c1_g2_i8",27,12,0,51,18,0,5,0,15,18,0
"TRINITY_DN65110_c1_g1_i5",40,59,33,23,54,53,85,46,61,47,65
"TRINITY_DN66943_c3_g1_i7",0,21,0,0,6,17,31,18,12,9,21
"TRINITY_DN57372_c0_g1_i2",385,463,641,397,441,313,498,247,448,260,349
"TRINITY_DN64115_c2_g1_i2",51,0,54,66,48,0,7,0,0,75,148
"TRINITY_DN63367_c3_g1_i6",0,0,0,0,31,34,42,37,28,25,71
"TRINITY_DN64619_c0_g1_i1",0,3,3,0,23,31,30,25,9,19,31
"TRINITY_DN67005_c3_g1_i10",0,18,10,82,16,0,45,0,59,10,0
"TRINITY_DN54579_c0_g1_i2",0,0,0,0,16,11,72,31,0,29,47
"TRINITY_DN61585_c2_g1_i2",113,18,76,200,255,36,188,47,39,142,105
"TRINITY_DN51946_c0_g1_i5",0,11,0,0,13,16,17,20,17,0,10
"TRINITY_DN56367_c1_g1_i6",16,361,27,17,21,13,23,14,58,59,25
"TRINITY_DN55706_c0_g1_i5",39,0,58,27,53,69,39,22,0,45,59
"TRINITY_DN60794_c2_g1_i11",0,4,0,0,19,23,24,59,0,14,16
"TRINITY_DN55909_c3_g1_i1",10,1685,37,14,8,35,95,2,457,328,117
"TRINITY_DN66466_c0_g1_i4",32,0,38,35,26,69,78,128,0,0,154
"TRINITY_DN60305_c3_g1_i3",54,0,6,10,10,25,76,55,0,26,31
"TRINITY_DN63367_c3_g1_i2",113,60,88,96,73,55,89,55,74,58,52
"TRINITY_DN61585_c2_g1_i7",20,55,23,13,26,23,42,29,58,26,25
"TRINITY_DN62270_c2_g1_i5",37,0,16,32,30,17,59,26,0,6,53
"TRINITY_DN65560_c3_g1_i3",0,12,0,0,27,20,11,19,1,21,45
"TRINITY_DN62946_c0_g1_i1",38,0,58,0,24,17,24,12,0,31,9
