gene_id,12-14,12-2,12-7,13-10,13-13,13-9,14-11,14-12,14-8,15-3,15-6
g8180,18,15,6,7,12,22,28,10,21,15,24
g8188,0,0,0,0,0,0,0,0,0,0,0
g8182,27,30,39,23,42,32,49,17,17,39,52
g8184,0,0,0,0,0,0,0,0,0,0,0
g8185,0,0,2,0,0,0,0,0,0,0,0
g8186,0,0,0,0,0,2,2,0,2,0,2
g8187,0,0,1,0,0,0,0,0,0,0,0
g8181,18,16,28,21,30,26,36,13,11,29,28
g8183,21,21,28,22,26,25,36,37,31,31,29
g8192,0,0,0,0,0,0,0,0,0,0,0
g8193,9,0,0,0,7,0,9,0,5,10,9
g8197,14,14,18,11,17,24,36,8,17,19,28
g8198,0,0,0,0,0,0,0,0,0,0,0
g8203,0,0,0,0,0,0,0,0,0,0,0
g8204,0,6,7,7,5,3,5,0,0,0,0
g8201,43,27,42,33,49,67,78,42,54,47,66
g8202,9,4,4,5,20,7,9,11,6,10,6
g8206,5,3,13,5,7,15,17,6,10,3,15
g8205,27,10,27,26,12,29,45,30,10,34,53
g8207,23,7,19,31,40,12,21,17,18,22,33
g8210,12,19,0,0,9,13,3,4,7,12,13
g8215,29,43,22,25,33,43,38,44,35,22,32
g8221,0,4,9,6,9,7,6,5,0,9,6
g8222,3,0,3,2,1,1,1,1,0,1,2
g8213,54,47,37,47,45,62,64,52,47,36,64
g8211,42,29,46,24,43,36,58,24,47,19,50
g8212,23,24,14,11,26,25,24,11,10,8,14
g8217,19,22,27,11,26,45,55,28,13,28,30
g8224,1,0,2,0,4,2,4,2,0,2,0
g8223,5,3,7,0,3,7,4,4,0,5,3
g8230,5,12,8,0,11,6,7,6,6,7,13
g8232,0,0,0,0,0,0,0,0,0,0,0
g8231,19,16,49,12,31,23,37,14,13,12,28
g8234,23,31,40,31,34,42,34,25,40,35,47
g8236,6,17,17,14,22,23,23,15,14,17,18
g8237,24,25,14,12,28,26,23,14,24,10,22
g8241,2,57,10,0,12,7,9,0,31,28,19
g8242,0,19,15,8,24,11,11,5,20,26,13
g8240,109,291,269,396,293,222,175,154,441,125,301
g8243,0,3,10,11,18,18,16,0,9,51,52
g8246,11,57,21,23,32,21,40,11,22,28,29
g8225,0,0,0,0,0,0,0,0,0,0,0
g8226,1662,1615,2534,1784,2410,1746,2036,1315,1599,1632,2263
g8227,33,46,59,58,68,38,50,38,31,35,50
g8228,20,22,33,20,7,10,22,10,13,20,16
g8248,39,65,56,43,70,55,47,43,66,54,52
g8249,34,32,49,25,44,38,30,23,29,39,52
g8250,28,39,65,33,59,44,40,0,29,29,32
g8251,39,34,40,26,56,47,78,24,42,50,87
g8252,3,0,0,0,0,0,4,0,0,4,3
g8257,4,6,3,6,22,16,23,18,12,17,16
g8256,14,37,23,18,43,22,28,11,18,22,34
g8263,5,2,5,5,3,5,7,0,2,3,0
g8261,10,6,4,8,9,10,27,6,12,15,4
g8268,10,5,5,5,11,7,12,3,8,11,0
g8271,45,41,45,50,88,46,68,32,44,27,63
g8272,43,36,57,56,89,83,117,51,42,57,73
g8273,0,0,0,0,0,0,0,0,0,0,0
g8275,0,5,0,0,0,0,0,0,0,6,0
g8276,0,0,0,0,0,0,0,0,0,0,6
g8277,69,106,96,54,0,0,89,0,82,0,110
g8286,6,2,1,13,4,10,10,9,3,19,12
g8278,0,0,0,0,0,0,0,0,0,0,0
g8279,0,18,0,0,0,0,13,6,0,0,0
g8280,0,30,32,0,16,11,21,19,15,23,26
g8281,26,40,41,19,36,25,39,22,17,28,35
g8282,35,24,52,28,45,30,47,25,42,39,47
g8284,72,92,95,61,98,106,90,79,77,48,108
g8283,7,0,0,0,0,0,0,0,0,6,8
g8287,161,124,123,154,285,260,228,138,129,149,247
g8288,65,69,91,56,91,116,159,49,52,112,83
g8290,0,0,0,0,0,0,0,0,0,0,0
g8291,0,0,0,0,0,0,0,0,0,0,0
g8289,29,21,33,16,44,38,58,0,21,31,43
g8292,16,17,15,10,25,10,27,17,16,0,22
g8293,12,21,25,15,48,24,34,8,9,20,50
g8300,20,0,34,7,21,25,41,18,12,23,17
g8295,0,0,0,0,0,0,0,0,0,0,0
g8298,0,0,0,0,0,0,0,0,0,0,0
g8299,51,28,39,40,34,61,82,38,20,46,78
g8294,31,30,52,21,17,22,0,23,27,10,49
g8296,56,33,66,43,47,36,94,30,37,59,48
g8297,18,6,11,8,7,18,18,8,9,21,11
g8301,0,0,7,0,9,6,0,0,0,0,0
g8302,0,3,0,0,6,0,2,0,0,0,0
g8303,27,14,7,14,19,41,37,17,12,18,35
g8305,0,0,4,10,4,4,0,4,0,0,0
g8312,2,0,3,6,6,3,1,2,0,3,0
g8313,12,31,31,61,56,16,9,9,11,7,15
g8306,15,23,12,22,22,8,16,12,10,9,12
g8307,0,0,0,0,0,0,0,0,0,0,0
g8308,0,0,0,0,0,0,0,0,0,0,0
g8309,0,0,0,0,0,0,0,0,0,0,0
g8311,49,76,63,57,73,62,74,48,47,64,87
g8310,12,48,27,36,40,29,28,22,17,20,29
g8315,4,9,5,4,8,0,18,4,7,0,20
g8317,9,11,18,6,16,11,18,15,19,7,19
g8316,39,8,55,34,61,25,48,25,35,23,58
g8314,137,88,203,144,272,177,239,170,106,174,253
g8318,26,22,23,18,15,21,22,22,0,28,38
g8319,0,0,0,0,0,0,0,0,0,0,0
g8321,0,0,0,0,0,0,0,0,0,0,0
g8322,0,10,8,0,12,0,12,0,0,0,6
g8320,4,0,5,0,7,0,0,0,0,0,7
g8325,1,0,3,0,1,0,7,4,2,3,3
g8326,0,0,0,0,0,0,0,0,0,0,0
g8324,96,103,118,110,166,174,172,85,95,131,157
g8328,21,24,30,23,39,42,44,27,25,32,31
g8329,106,76,83,77,129,108,128,45,77,94,136
g8330,29,9,22,22,35,39,47,15,30,15,26
g8331,65,67,63,71,100,62,107,59,41,66,103
g8332,58,59,99,59,105,64,112,52,59,78,91
g8333,0,0,0,0,3,2,0,0,0,0,0
g8334,28,25,35,20,36,37,47,31,12,35,25
g8341,24,16,12,12,26,11,20,21,7,12,31
g8335,38,40,44,34,47,47,40,23,28,30,69
g8336,0,0,0,0,0,0,23,12,0,0,0
g8339,0,0,0,0,0,0,0,0,0,0,0
g8337,11,0,0,11,4,0,13,0,3,3,7
g8338,11,5,8,7,7,8,10,0,0,7,13
g8340,47,42,34,57,62,52,72,43,47,62,60
g8347,15,16,13,6,29,23,29,22,0,15,31
g8348,178,159,178,106,199,161,208,126,108,142,207
g8351,0,0,0,0,0,0,0,0,0,0,0
g8352,84,23,67,57,96,87,85,53,63,71,127
g8349,3,1,0,1,0,2,3,0,0,0,2
g8350,5,0,0,0,20,16,14,21,18,0,18
g8363,42,93,15,32,71,58,104,38,27,52,36
g8354,0,22,18,20,0,26,26,0,22,24,0
g8355,0,0,0,0,0,0,0,0,0,0,0
g8359,0,0,0,0,0,0,0,0,0,0,0
g8360,0,0,18,0,0,18,23,0,0,0,19
g8353,70,87,107,102,110,82,148,82,47,98,102
g8356,87,116,71,93,99,121,150,102,101,101,160
g8357,260,243,316,230,305,368,433,278,246,349,398
g8358,16,9,18,14,19,13,29,13,15,7,24
g8361,33,55,59,29,54,42,87,24,36,60,73
g8367,20,43,38,22,34,29,0,15,7,18,39
g8368,86,101,97,52,86,55,93,56,55,89,88
g8374,0,4,0,5,8,0,0,0,0,8,0
g8369,0,0,0,0,0,0,0,0,0,0,0
g8372,0,0,0,0,0,0,0,0,0,0,0
g8373,0,0,9,10,9,14,13,0,7,0,11
g8370,17,17,23,39,36,36,48,23,15,29,52
g8371,10,13,9,18,17,15,20,14,0,16,33
g8365,0,0,0,0,0,0,12,0,15,0,0
g8364,4275,4137,5209,3956,5307,5374,6735,3762,5264,4904,6056
g8366,18,17,37,8,19,31,0,5,7,17,15
g8379,44,51,80,26,63,63,84,27,33,35,67
g8382,8,0,0,0,18,0,30,0,16,0,7
g8381,122,0,6,51,73,0,513,33,184,0,44
g8378,145,151,125,150,190,164,228,86,123,99,201
g8376,825,819,769,779,922,814,1139,642,784,736,993
g8377,394,419,456,412,479,349,526,334,349,306,509
g8383,74,42,69,25,76,63,98,49,51,60,63
g8384,11,17,31,12,19,11,25,13,0,26,0
g8386,0,0,3,0,0,0,0,0,0,0,4
g8385,101,28,39,27,30,46,144,79,37,41,56
g8392,24,16,22,0,16,38,35,14,8,27,36
g8394,0,0,0,0,0,0,0,0,0,0,0
g8393,4,4,2,1,2,4,5,2,0,2,3
g8388,88,13,18,41,59,26,169,45,33,0,31
g8389,111,0,27,75,71,40,243,64,36,30,49
g8391,11,0,0,4,7,3,13,5,3,1,5
g8390,43,3,7,13,17,19,110,19,11,16,18
g8395,0,0,0,0,0,0,0,0,0,0,0
g8397,0,0,0,0,0,0,1,0,0,0,0
g8396,10,0,13,0,0,0,13,0,0,0,0
g8398,22,19,25,18,30,28,25,23,28,29,32
g8399,53,30,76,50,90,57,89,48,54,43,85
g8400,22,18,9,18,20,28,20,19,22,29,28
g8401,0,0,0,0,0,0,0,0,0,0,14
g8402,0,8,5,7,0,4,0,0,3,0,0
g8403,0,0,0,7,0,0,0,0,0,0,0
g8404,8,9,12,8,17,12,14,8,4,15,19
g8417,3,0,0,5,0,4,11,0,6,5,0
g8410,7,0,18,10,9,8,24,8,3,11,19
g8418,0,0,0,0,0,0,0,0,0,0,0
g8419,0,0,0,0,3,0,4,0,0,0,0
g8421,0,0,0,0,0,0,0,0,0,0,0
g8427,0,0,0,0,0,0,0,0,0,0,0
g8429,1,1,2,0,0,0,3,3,0,0,0
g8432,0,0,0,0,0,0,0,0,0,0,0
g8430,40,30,64,16,34,60,58,31,49,44,47
g8435,0,0,0,0,0,0,0,0,2,0,0
g8405,52,54,52,53,94,68,134,50,36,59,109
g8406,7,0,6,5,0,8,12,0,0,11,11
g8407,0,0,0,0,0,0,0,0,0,0,0
g8409,12,17,13,11,18,14,45,12,27,9,19
g8408,134,110,105,83,147,185,206,83,113,130,155
g8436,0,0,0,0,0,0,0,0,0,0,0
g8437,0,0,0,0,0,0,0,0,0,0,0
g8442,0,0,5,0,0,0,8,3,0,0,0
g8438,0,14,6,0,8,0,9,9,0,0,12
g8439,0,9,6,7,9,0,0,0,5,0,9
g8441,0,0,0,0,0,0,0,0,0,0,0
g8444,44,35,44,46,40,57,51,38,56,57,60
g8446,16,24,21,4,21,15,24,0,13,12,17
g8447,0,0,0,0,11,0,0,7,0,0,3
g8449,0,0,0,0,0,0,0,0,0,0,0
g8451,0,0,0,0,8,0,0,0,0,0,0
g8443,665,594,641,599,918,674,1290,645,528,645,826
g8452,0,0,0,0,0,0,0,0,0,0,0
g8453,0,0,20,0,0,0,0,0,0,0,0
g8454,0,0,0,0,0,0,0,0,0,0,0
g8455,9,9,15,10,12,14,22,0,15,6,20
g8456,53,17,68,55,55,43,42,20,27,31,66
g8457,25,33,16,24,46,30,38,30,0,26,23
g8458,0,0,0,0,0,0,0,0,0,0,0
g8459,0,0,0,0,0,0,0,0,0,0,0
g8460,20,43,26,22,50,40,39,10,23,27,42
g8462,47,63,86,73,92,91,86,42,78,64,89
g8463,0,0,0,0,0,0,0,0,0,0,0
g8464,56,77,67,64,103,50,107,29,53,42,87
g8466,136,170,183,98,118,164,211,143,99,116,169
g8470,2,0,0,3,6,10,7,0,4,7,6
g8467,0,0,0,0,0,0,0,0,0,0,0
g8468,338,343,428,375,464,369,482,274,375,317,563
g8474,30,21,31,32,62,52,62,34,29,44,43
g8472,21,12,14,7,14,10,34,8,22,18,24
g8473,11,4,5,3,7,3,13,7,2,7,1
g8483,0,0,0,0,0,0,0,0,8,0,9
g8481,0,0,0,0,0,0,0,0,0,0,0
g8475,0,0,0,0,0,0,0,0,0,0,0
g8476,0,0,12,0,6,0,0,0,0,0,0
g8477,0,0,0,0,0,0,0,0,0,0,0
g8478,0,0,0,0,0,0,0,0,0,0,0
g8479,0,0,0,0,0,0,0,0,0,0,0
g8480,15,22,11,7,8,21,19,13,14,17,17
g8484,12,3,19,0,18,11,27,11,7,8,22
g8490,29,3,24,2,7,17,27,21,15,8,37
g8488,11,15,28,27,30,17,27,20,0,32,37
g8486,61,76,49,56,64,107,97,53,58,64,79
g8487,24,28,38,37,51,68,64,38,34,32,72
g8491,35,9,34,29,29,26,50,52,38,23,58
g8492,0,0,1,0,0,1,0,1,0,0,0
g8494,8,0,8,0,0,10,15,0,0,4,14
g8493,0,5,4,0,1,4,0,0,0,0,0
g8495,7,0,15,10,14,12,16,6,12,13,12
g8496,8,3,5,0,13,0,8,0,5,0,0
g8497,71,146,84,50,78,74,151,49,105,85,62
g8500,10,0,10,9,15,7,20,15,18,17,10
g8498,32,45,41,11,38,11,44,21,13,37,27
g8499,24,61,77,12,20,31,30,20,36,41,44
g8502,0,0,4,0,0,0,0,2,0,0,0
g8503,4,0,0,0,0,0,0,0,0,0,0
g8504,0,0,7,0,0,0,10,0,7,6,6
g8505,0,7,3,0,0,0,6,7,5,0,5
g8506,0,0,0,0,0,0,0,0,0,0,0
g8507,0,0,0,0,0,0,0,0,0,0,0
g8512,31,29,18,16,47,37,36,22,27,40,43
g8514,0,0,0,1,0,1,2,0,0,0,0
g8513,5,0,6,0,5,0,7,0,7,8,0
g8508,0,0,0,0,0,0,0,0,0,0,0
g8509,0,0,0,0,0,0,0,0,0,0,2
g8510,40,85,51,62,72,55,81,46,38,45,99
g8511,28,41,38,13,30,26,34,19,13,22,28
g8515,77,108,67,78,177,162,197,83,113,100,176
g8516,6,14,8,10,16,24,15,7,16,9,23
g8517,67,83,82,87,120,103,195,84,65,70,163
g8518,20,20,11,16,21,8,19,19,6,9,24
g8519,64,96,98,72,114,76,145,75,58,78,133
g8523,0,0,0,0,0,0,0,0,0,0,0
g8526,0,27,24,0,0,0,24,11,0,0,0
g8522,528,608,762,418,761,641,1090,467,382,551,684
g8524,48,41,63,41,51,38,79,26,27,41,66
g8525,9,44,31,13,39,16,48,23,12,0,41
g8527,3,8,7,3,0,6,6,0,0,0,4
g8532,21,20,13,14,23,17,29,23,11,21,22
g8528,0,0,0,0,0,0,0,0,0,0,0
g8529,0,0,29,0,0,35,46,14,21,0,49
g8530,37,63,57,53,75,74,82,28,41,64,71
g8531,33,46,44,24,54,49,52,15,24,43,51
g8533,18,16,22,20,17,27,17,22,0,29,20
g8534,3,6,3,4,6,3,2,4,0,3,3
g8536,0,7,0,0,0,0,0,0,0,0,0
g8537,0,0,0,0,0,0,0,0,0,0,0
g8538,0,1,5,3,8,0,0,0,2,2,5
g8546,0,2,0,0,0,0,0,0,0,0,0
g8548,372,484,466,481,486,338,465,263,415,421,413
g8543,4,6,14,5,5,8,8,12,5,17,14
g8544,88,106,68,51,88,71,157,83,71,87,104
g8545,15,29,42,0,27,35,42,12,15,31,36
g8547,14,28,32,13,16,33,39,17,15,20,34
g8558,1,0,0,3,0,0,16,4,8,0,0
g8559,2,2,3,0,2,4,14,5,3,0,0
g8560,2,6,8,10,3,4,18,14,26,0,2
g8550,75,99,169,51,134,136,153,52,57,59,141
g8549,26,40,66,24,64,44,42,52,18,25,63
g8551,419,465,752,319,589,607,719,421,440,520,657
g8552,25,23,24,9,24,19,34,17,21,11,13
g8553,13,17,23,4,21,17,33,17,22,24,33
g8554,30,24,18,15,40,22,21,19,16,17,38
g8555,11,11,16,10,18,11,19,8,7,9,16
g8556,25,13,18,4,26,16,20,8,13,16,38
g8557,21,35,35,8,27,24,41,10,31,20,46
g8564,8,10,15,9,0,13,20,13,17,20,5
g8561,21,59,31,25,54,9,36,17,20,8,52
g8562,1709,1858,2408,1732,1869,1872,2612,1409,2165,1881,2378
g8566,19,16,43,6,0,21,26,27,22,22,22
g8565,406,493,637,300,512,483,735,325,280,413,576
g8567,76,97,91,50,82,81,125,44,75,72,106
g8568,65,30,20,31,48,43,85,62,22,25,58
g8570,15,13,12,9,21,26,42,14,10,17,7
g8569,78,93,86,48,89,94,131,82,94,124,92
g8571,69,107,96,49,93,97,129,75,84,100,114
g8572,427,389,543,357,535,490,636,347,342,395,583
g8575,0,0,0,0,0,0,0,0,0,0,0
g8576,55,50,61,51,57,61,74,39,45,35,85
g8573,33,29,42,25,37,22,37,20,35,28,59
g8574,52,43,60,56,64,61,83,41,57,42,48
g8579,145,159,174,135,192,133,233,91,124,116,227
g8577,77,31,59,22,63,41,86,26,53,41,58
g8578,42,33,44,40,60,38,60,33,23,38,50
g8581,51,99,80,68,116,40,101,67,26,67,100
g8580,20,23,40,19,55,21,55,22,17,11,37
g8586,5,6,6,5,0,0,7,0,0,7,7
g8587,5,9,13,6,12,16,12,4,10,9,10
g8584,147,102,181,121,161,169,247,149,124,168,253
g8591,11,33,38,24,34,30,54,34,26,34,33
g8590,20,19,20,9,17,22,39,9,22,18,32
g8592,9,11,14,13,16,19,19,11,15,15,20
g8593,71,118,113,72,138,113,191,82,81,102,128
g8596,0,0,0,0,0,0,0,0,0,0,0
g8594,13,10,22,10,13,33,31,35,41,15,39
g8595,15,8,7,0,8,8,13,11,7,13,0
g8599,21,14,28,0,16,50,42,5,24,34,21
g8598,202,357,380,196,288,277,466,194,229,281,309
g8600,27,17,20,11,13,32,33,12,26,15,26
g8601,1,1,0,0,0,0,1,0,0,1,0
g8609,36,24,43,30,30,41,38,24,33,28,32
g8610,346,497,567,325,599,520,574,253,280,462,505
g8611,8,13,36,17,18,14,21,17,0,9,12
g8618,7,7,16,0,10,11,0,7,11,12,16
g8619,13,18,20,25,25,23,32,13,0,8,16
g8620,25,45,38,87,60,44,33,30,44,36,30
g8621,18,9,29,40,52,14,19,13,18,10,30
g8622,102,125,147,188,177,132,177,126,144,107,219
g8612,494,471,619,415,682,535,671,311,406,438,639
g8613,2,4,3,0,0,0,3,3,5,0,3
g8614,97,112,138,75,127,113,114,65,106,85,142
g8615,18,10,19,9,18,15,10,0,12,0,17
g8616,79,67,58,54,82,90,131,61,67,64,95
g8617,63,42,41,24,61,43,93,47,50,64,81
g8626,0,0,7,2,0,5,0,0,0,0,0
g8624,57,59,66,50,77,53,71,57,61,57,111
g8625,59,32,29,28,66,34,71,24,52,43,63
g8629,97,165,171,86,95,106,154,61,124,67,146
g8630,72,202,410,738,692,122,233,250,975,120,519
g8632,0,0,1,2,0,3,2,0,2,2,2
g8631,300,209,387,317,511,388,523,443,289,291,551
g8633,187,144,294,169,258,218,322,241,152,211,279
g8634,63,34,61,27,70,71,97,48,32,60,86
g8635,0,0,0,0,0,0,3,0,0,0,0
g8636,0,0,0,0,0,0,1,0,0,0,0
g8638,0,0,0,0,5,0,6,5,0,0,5
g8639,64,76,108,49,97,121,138,70,72,80,98
g8637,20,22,26,13,14,18,35,20,26,32,30
g8640,25,28,45,19,33,41,50,34,16,36,33
g8641,111,63,63,57,59,68,122,62,60,60,82
g8645,65,97,119,51,67,108,110,43,65,57,122
g8646,6,1,8,1,4,2,9,0,3,4,6
g8647,9,6,8,7,11,13,9,2,11,14,9
g8649,4,4,3,0,2,4,7,4,4,6,3
g8650,6,1,4,2,0,2,0,4,4,0,0
g8648,29,39,81,32,45,75,55,29,43,43,48
g8652,4,14,37,16,16,20,19,12,18,11,9
g8653,0,0,0,0,0,0,0,0,0,0,0
g8654,70,85,100,69,106,90,138,69,66,80,138
g8655,28,47,57,18,46,53,56,25,23,39,38
g8656,35,54,66,33,52,67,59,45,18,52,69
g8657,0,0,0,3,0,4,0,0,0,0,7
g8659,0,0,6,3,3,4,6,0,2,2,4
g8658,108,66,110,57,104,135,126,67,70,63,98
g8661,167,159,201,171,296,204,241,169,165,154,284
g8662,36,0,23,30,19,36,29,10,21,35,40
g8663,17,8,9,8,0,16,0,0,7,8,52
g8664,172,160,148,90,171,145,204,94,116,142,169
g8668,47,29,43,19,28,26,73,25,28,45,49
g8665,0,0,0,5,0,0,10,0,0,0,5
g8667,104,149,109,97,143,108,154,90,112,134,161
g8666,109,146,142,121,206,129,207,115,87,98,191
g8669,79,62,75,32,55,86,105,45,30,81,67
g8670,104,115,109,128,187,169,194,133,100,140,223
g8673,4,32,23,0,6,26,13,0,11,27,11
g8675,0,0,0,2,0,0,0,2,9,0,0
g8676,0,0,0,0,0,0,0,0,0,0,0
g8674,253,228,190,236,300,269,379,167,202,189,299
g8671,2860,3390,4104,2830,3439,3374,4703,2214,3759,3143,4469
g8687,3,0,0,0,0,0,0,0,0,0,0
g8688,4,0,0,4,0,0,7,0,12,2,4
g8689,0,0,0,0,0,0,8,0,6,0,0
g8686,6,8,7,9,11,7,0,11,0,6,17
g8690,0,0,0,0,1,0,0,0,0,0,0
g8691,129,199,209,130,183,157,224,121,141,125,226
g8679,194,711,757,213,220,427,151,118,200,540,647
g8680,0,0,0,0,0,0,0,0,0,2,0
g8682,0,0,0,0,1,0,0,0,0,0,0
g8678,98,308,333,105,83,220,75,83,125,321,344
g8681,612,280,544,564,767,542,695,480,422,420,838
g8683,15,26,61,22,52,65,27,9,19,56,75
g8684,107,80,161,121,176,178,107,73,170,193,259
g8685,37,40,55,11,59,43,31,34,31,68,92
g8695,0,6,11,0,0,0,17,4,8,11,11
g8692,23,40,32,17,36,16,49,23,23,29,42
g8693,15,19,17,26,13,26,17,24,9,19,36
g8694,21,15,19,0,0,0,0,17,18,17,0
g8696,16,16,13,21,30,13,28,8,19,23,22
g8697,8,13,5,9,5,10,10,2,9,8,13
g8708,1,0,0,0,0,0,0,0,0,0,0
g8704,38,52,39,41,44,46,73,54,39,53,88
g8702,6,7,10,7,1,7,10,0,4,8,3
g8703,11,27,11,16,27,14,20,21,14,24,22
g8709,17,0,6,0,18,26,25,14,13,25,24
g8710,6,0,0,0,4,0,7,0,3,8,5
g8701,106,86,146,82,192,150,228,135,158,148,250
g8700,458,567,873,463,788,619,993,570,522,496,629
g8712,0,0,0,0,0,0,0,0,0,0,0
g8713,0,0,0,0,0,0,0,0,0,0,0
g8714,0,0,0,0,9,0,5,0,0,4,7
g8711,492,501,500,335,695,610,830,405,420,398,572
g8715,36,7,12,20,19,20,49,28,21,20,35
g8724,0,0,0,0,0,0,0,0,0,0,0
g8717,22,23,27,33,76,39,42,34,20,22,42
g8725,37,43,52,28,39,29,77,31,14,19,41
g8726,9,8,10,16,8,0,17,0,6,0,8
g8728,121,130,123,112,169,151,189,92,101,134,105
g8729,0,0,0,0,4,0,0,0,0,0,4
g8727,43,52,47,78,85,46,103,47,22,40,81
g8732,0,0,0,0,0,0,0,0,3,0,0
g8733,117,123,147,56,142,134,189,93,118,141,140
g8730,166,169,163,197,257,149,253,115,94,145,239
g8731,80,90,93,88,146,87,146,57,61,98,110
g8734,0,0,0,0,0,0,0,0,0,0,0
g8735,264,282,203,262,471,246,499,308,202,229,374
g8736,905,1019,1215,775,1186,1225,1533,880,670,977,1706
g8742,3,1,0,1,0,0,3,0,2,0,0
g8744,0,0,10,10,0,5,8,6,4,4,0
g8743,5,0,9,0,7,16,12,9,0,5,6
g8745,15,6,15,14,25,19,22,10,0,22,14
g8738,349,221,283,220,383,300,286,185,248,289,252
g8748,99,66,106,136,158,124,121,112,98,86,125
g8753,9,6,17,0,10,0,21,0,0,15,22
g8754,15,18,22,8,9,18,23,10,0,10,22
g8749,0,0,0,0,0,0,0,0,0,0,0
g8750,0,0,0,0,0,0,0,0,0,0,0
g8751,31,39,40,25,52,33,44,34,23,17,37
g8752,38,19,43,44,62,51,121,61,48,43,68
g8755,19,14,29,6,21,26,28,15,16,11,25
g8756,24,14,24,18,24,35,20,14,21,44,29
g8757,10,9,9,10,20,15,9,18,13,20,10
g8758,0,34,17,19,45,37,24,24,10,10,18
g8759,12,0,20,6,14,19,27,7,11,16,16
g8760,10,6,13,18,18,12,17,14,16,8,21
g8761,0,0,0,0,0,0,0,0,0,0,0
g8766,4,0,1,0,0,0,0,0,5,0,0
g8767,2,0,0,0,1,3,1,0,0,2,2
g8779,0,0,0,0,0,0,0,0,0,0,0
g8776,3,0,3,0,3,0,8,0,0,0,4
g8780,0,0,4,0,0,0,0,0,0,0,8
g8784,0,8,0,6,0,7,5,5,0,5,4
g8783,7,7,0,0,9,0,12,0,0,6,4
g8781,22,15,11,9,16,15,18,9,8,10,18
g8789,0,0,0,0,0,0,0,0,0,0,0
g8792,6,9,6,0,6,13,17,6,9,8,11
g8786,0,5,11,0,9,13,0,4,11,3,20
g8787,0,0,2,0,0,0,6,0,0,0,0
g8788,8,0,7,0,10,0,23,9,0,11,8
g8785,18,16,20,15,34,31,25,18,15,21,45
g8793,4,5,8,4,15,7,7,2,0,10,14
g8801,7,15,12,11,25,18,24,0,11,18,15
g8803,0,0,0,0,0,0,0,0,0,0,0
g8796,16,9,21,6,27,15,26,14,10,10,25
g8797,43,12,58,40,45,41,47,30,53,33,44
g8798,0,0,0,0,0,0,0,0,0,0,0
g8800,0,0,0,0,0,0,0,0,0,0,0
g8794,18,22,16,0,27,38,22,17,9,22,42
g8795,55,71,67,39,86,60,73,48,42,59,79
g8799,35,24,21,19,45,33,44,24,25,24,47
g8807,0,0,0,4,0,0,10,0,0,0,8
g8804,7,0,5,10,18,11,13,0,0,10,11
g8805,14,0,0,0,11,17,31,0,18,0,12
g8806,6,8,0,13,12,12,21,11,8,7,16
g8811,0,0,0,0,0,0,0,0,0,0,12
g8813,0,0,0,0,0,0,0,0,0,0,0
g8817,0,0,3,0,0,0,8,2,0,0,2
g8818,0,0,0,0,0,4,0,0,0,0,0
g8819,2,0,0,0,0,0,1,0,0,0,0
g8810,118,100,120,95,160,106,198,86,102,74,153
g8821,64,12,142,27,75,48,116,54,78,62,137
g8822,52,11,110,26,53,27,63,33,70,48,49
g8828,0,0,0,0,0,0,0,0,0,0,0
g8825,6,14,12,5,5,15,9,7,0,12,16
g8823,2,0,0,0,0,0,3,0,2,0,4
g8824,27,4,48,19,34,26,52,33,51,20,41
g8829,0,20,0,55,37,40,41,0,0,23,42
g8830,0,0,0,0,0,0,0,0,0,0,4
g8831,0,0,0,0,0,0,0,0,0,0,0
g8832,0,0,0,0,9,7,0,0,0,3,0
g8833,0,0,0,0,0,0,0,0,0,0,0
g8834,0,0,0,0,0,0,0,0,0,0,0
g8835,28,22,33,20,47,28,30,30,32,28,44
g8836,0,0,0,0,0,0,0,0,0,0,0
g8837,0,0,0,0,0,0,0,0,0,0,0
g8838,0,0,0,0,0,0,0,0,0,0,0
g8839,0,0,0,0,0,0,0,0,0,0,0
g8840,0,0,0,0,0,0,0,0,0,0,0
g8841,0,0,0,0,0,0,0,0,0,0,0
g8842,0,0,0,0,4,0,0,0,0,0,0
g8844,36,38,46,57,33,30,29,28,53,48,42
g8845,64,39,34,26,21,34,76,29,42,33,63
g8854,0,0,0,0,0,5,0,0,0,0,0
g8852,3,0,4,3,3,0,2,2,3,0,3
g8858,2,2,3,0,1,0,0,0,0,0,0
g8849,9,7,5,5,9,15,6,0,0,9,6
g8860,0,0,0,0,0,0,0,0,0,0,0
g8859,7,26,9,20,17,13,19,13,16,15,20
g8846,7,14,13,12,12,10,16,0,6,0,12
g8847,54,77,65,64,77,64,74,32,62,37,63
g8848,86,104,100,134,111,112,152,73,122,75,127
g8861,10,10,13,10,11,16,12,17,0,18,14
g8862,9,8,17,11,11,13,6,10,9,11,19
g8863,11,7,10,14,10,10,7,14,6,7,7
g8864,27,13,18,20,29,23,32,26,16,21,29
g8865,13,21,17,9,24,19,28,29,11,20,40
g8866,13,17,21,6,16,15,28,9,0,14,14
g8868,24,41,36,11,23,28,45,22,12,29,40
g8867,80,110,93,78,89,75,119,54,95,83,123
g8871,22,106,56,259,261,36,66,28,68,41,49
g8869,1,0,7,3,0,3,0,0,0,0,0
g8870,51,52,83,32,73,74,86,51,71,56,101
g8872,14,93,23,210,305,32,69,35,44,35,41
g8873,18,21,23,20,21,33,43,18,11,33,34
g8874,20,21,11,15,0,25,33,12,23,26,23
